voyage_id,fixture_display_order,grade_name,display_order
837ABAAA65C2A85845C3CFA66F22B485,1,Gasoline,0
5828FEEB751250662F46A1461C409FFF,1,NHC,0
1F84115DEB60FCB8E14A90C48C0B2797,1,NHC,0
FAA3E4AA666972AF566CBD612A0B1401,1,CPP,0
8167011C569E487B8A96E1F470E529A0,1,CPP,0
8167011C569E487B8A96E1F470E529A0,2,Bayer Process Liquid,0
49F4850B154273540F646AF6FFEA9663,1,Naphtha,0
63C74A5CA5B41072A34D8F653EC91CE4,1,VEGOIL,0
30955938B410B7B454ACE24D2C7E5B0D,1,UAN,0
FC2294A91C705128FC39E4B8BD8A9DA0,1,Gasoline,0
673D750F54FC1E6F55B0519C3F2F1F79,1,,0
D1A70ADE56B5FFB416841E00500E20CE,1,,0
E7D52C024E353451886E3AF52D544640,1,Mixed Aromatics,0
B991A4D16F10C0640CFF1196EC2D0D5E,1,CSS,0
B991A4D16F10C0640CFF1196EC2D0D5E,2,CSS,0
B991A4D16F10C0640CFF1196EC2D0D5E,3,CSS,0
921A540C97F21BAEDFCD868036AA698B,1,Mogas,0
5BCA3B101E356CCAA5C019049061E843,1,Gasoline,0
06458016393A992D0A0353EB8E5598BC,1,CPP,0
FB67929182393E10DE6BE3D7BF0C329F,1,NHC,0
2E048E55C44B5CEACAA1BE3DD276D96F,1,CPP,0
3B7021EECE56FE8AAC4C8521AB459735,1,NHC,0
02A53D5D72992D4C1A3FA9C258792568,1,NHC,0
3D0CDEAB509E292748652AFE5AE277EC,1,VEGOIL,0
5BC2370DF9E14BB3C6EABDC60ACBE4FA,1,,0
48DF702582B8EBE63C04BEBA78636BB7,1,PALM OIL,0
7141BD09A96DF096C23626401DF9DEF6,1,NHC,0
9C453200D61933DB318B68C789019946,1,CPP,0
5DD1CB3EEF931DF60ED83FAF7E0EEAD8,1,PKO,0
5DD1CB3EEF931DF60ED83FAF7E0EEAD8,1,CPO,1
5DD1CB3EEF931DF60ED83FAF7E0EEAD8,1,PMF,2
012C33BDF9E6436B97D860218900E0AD,1,GO,0
C3E970C95B7EF5AEB53B7FE293781BEE,1,NHC,0
ABCD2C938DC82BD2C6CF60D95165DF79,1,NHC,0
F62CA1E399BA4EEC300772B09EE90F1E,1,NRD,0
30F18B2A6124F71DB4CCFF0504F890F9,1,CPP,0
89CDA4A64D5C1BD47802D6F958097D16,1,Naphtha,0
EC44835C1BE9FDE81405272FEE3E3039,1,FAME,0
9480D6062016CED4096F6774E1921179,1,Fuel Oil ,0
B1682DDB71E1DFABE126EFF04EFE2936,1,CPP,0
B1682DDB71E1DFABE126EFF04EFE2936,2,CPP,0
B1682DDB71E1DFABE126EFF04EFE2936,3,CPP,0
DC462F621E496674DC432EF3D001096B,1,CPP,0
CB137F0578AD870AF33BA976A30E52B8,1,CPP,0
15CF23E61F6E581EE180B88C3D85DEC0,1,NHC,0
316F4D02E623BF0301312210D7C0F493,1,NHC,0
EC3FC9A4B2BCA1895D3F499F3FBF8E98,1,GO,0
5D71B42004FE7F0CA910D0DBF8FB564A,1,NHC,0
E3287608AD2CA4D9BFCEA3E059943DE3,1,NHC,0
563B6C1D3B618AC83F3007C87860A472,1,Mogas,0
A9215346CC256EC7368C1735EDA6CE38,1,CPP,0
33952688A5196937EFD6731FEB7E52A2,1,VEGOIL,0
544A2674A8BAE2EA456DFBD38A54AD82,1,MTBE,0
E1C7499496D8D8B34ECD23175EF6363F,1,Methanol,0
29556E2588FC53A73A79D8700F356700,1,FAME,0
A62C3C1655BC4563B2171507B6D606F6,1,CPP,0
063DE01597D0E76C325C9A4E7004DBCD,1,CPP,0
9D3770F2B0B064747269A0FBBF6E8B41,1,VEGOIL,0
9560BFDF2BC6DDA925FB588151240A13,1,CPP,0
43CC6792735B1166E8A8BE2917921AFD,1,NHC,0
EE0F5F94BE4EB60C220154C1BA171475,1,NHC,0
9ACCD565906047AC8892B2A044866EC4,1,CPP,0
88173E36BA115070BB72A8CD279561C9,1,CSS,0
F20404461393BB6D0FD7992378456243,1,No Heat Crude,0
407D824497FF39D4299FEB0D446F2B8D,1,NHC,0
BC51852CE48F8C6E726E50B9D95ACDAA,1,NHC,0
AAE74337629029006D5B6B988FC1AB65,1,CPP,0
9337117212BF085628DA6DEC1A16C16D,1,,0
4514EA439346A6C57C7947A20A3A7794,1,NHC,0
09214DC78A51DC715D559D2DF7362985,1,Crude,0
52F40C94FD2F60219A4DC8BE865064E0,1,CPP,0
A6297981B357538C7DF0C98F7275674A,1,DPP,0
F57DC33BF1BD7293C7B3542FCAFB8D65,1,PALM OIL,0
12AA680162EEE6913D613DC0A256D39B,1,PALM OIL,0
921A540C97F21BAEDFCD868036AA698B,1,Mogas,0
CE69AD8FE0838DB20BBBD4DC1C485A86,1,NHC,0
9E70239D3877787A862B125941D0A7F8,1,CPP,0
1A63B040990559BF6A517F1AB22DCE5F,1,NHC,0
B22FCF5E42F671890748DD7FE9F765E5,1,NHC,0
8A2481CC0762EC949C0298385AC8A91E,1,Mogas,0
9691D5F94D8C9E5B5C30EFCEA19A8AA5,1,Mogas,0
A8F6B5DE0F368BE9062755FD5014431B,1,,0
F48FC4DA00D8AD50933D597CDFB0CEFD,1,CPP,0
41B94B3A3DCD793AD3811D5FF56247C1,1,PALM OIL,0
41B94B3A3DCD793AD3811D5FF56247C1,1,CPO,1
41B94B3A3DCD793AD3811D5FF56247C1,1,PKO,2
41B94B3A3DCD793AD3811D5FF56247C1,1,RBDPO,3
41B94B3A3DCD793AD3811D5FF56247C1,1,RBDPS,4
9C8D62112654B5D0DFDC6DD8B0FA69C5,1,CPP,0
D2843F4A2A6F21A17FD4CACCDFA3A707,1,CRD,0
B851E04F9671F0EBC2F00FED39BF3B3E,1,CSS,0
BDCF4E94E8A8985D37BB303056A449AB,1,NHC,0
B917D0E55BCBFFB850F834777F276DC7,1,NHC,0
F3E3624EA450D54949D8B0CA1D2FC139,1,CPP,0
DDB27E4847A23E30B0EEEAADA68B7D65,1,VEGOIL,0
D2E792EAB2A268D9201622726FFD0877,1,CPP,0
B08FA949EA903FCE19FDADD75DAD1D19,1,Ethanol,0
35AA08BCC176A44C3A854E3A7620F9A2,1,Crude,0
1F84115DEB60FCB8D47F76A8E6B7AE18,1,CPP,0
415D5C6AC7617F2372692C2746B28868,1,CPP,0
E76D6CBEFBFF5EDF1BF415B87D6831E2,1,Gasoline,0
53C84FCDEA5F4068D42B6EEB8C6B7154,1,NHC,0
2930EBDE7C523FE7B0BCABFB3D439C2A,1,PALM OIL,0
1A2B1DC16E37189A12F35CC02F320014,1,NHC,0
BBD147411C15229482E3E576E06E3CEE,1,NHC,0
8DF55514DDE3E81AF5E4BC5681DA9EC2,1,CPP,0
E1AEFBF96F4FB4305C362FAD00017604,1,,0
30F18B2A6124F71D5F60EB8DE66158E2,1,,0
A9EA76CBEA79F096AAD03A91747B1D4E,1,VEGOIL,0
AD38975BD4AE44D1DC47C1954C373D26,1,ULSD,0
AD38975BD4AE44D1DC47C1954C373D26,1,Mogas,1
1CABC447557EC8BE06B8E58538D96289,1,NHC,0
9AE7500F01EAC2D85661ABAB2B2D7818,1,VEGOIL,0
B2A027B5C4D86EE9906734443A078340,1,NHC,0
616443771D077962AE8820863DCAB8FF,1,Mogas,0
9861D70191809EAFE36519923A2806FC,1,NHC,0
6B147C0172EB1E6DAE1A6C909B09EAB6,1,CSS,0
4A44F2CCC05E52F4FDA96A6DE71FFB80,1,CPP,0
F17566BE6F7EF325B93C22105FB6BF62,1,NHC,0
9376DA05EA35A8C8C5F004EB418A730A,1,NHC,0
36AC34F826B1DD0AA281BD75020CB3E6,1,PALM OIL,0
474EB9944BC946D4489F50494398A460,1,NHC,0
9A0646A2549193FCD7C9AECF6A5E38A7,1,,0
38822FA88F2712BC52721AA81482F8D0,1,CPP,0
636511D67199FE7FDDC841C51E7A124B,1,NHC,0
DE0B66BBE446E8AC0559D589FCBEDC29,1,NHC,0
00E7F752AE81B340AD58E17F830F806F,1,NHC,0
A53C18C76F6CC58560F5DE7BD316B462,1,,0
4A21A4FDB04E28093373BB568A4622D1,1,NHC,0
B851E04F9671F0EB337CF03697FB73BA,1,CPP,0
18B375888FF2BE727C8B04564654EB85,1,NHC,0
F48FC4DA00D8AD50BA3E9D7AA57FA0D9,1,CPP,0
EFC3CD723C7826765FE291F7DF8C6981,1,NHC,0
28FEF25A83824DEF14FFAF85834F9848,1,NHC,0
414A80ECBB1C9412844FE8D1CC641267,1,CPP,0
1B5043100B867AA1D1CC3478E725240A,1,CPP,0
A29639FFBE49F719F6BF62C81D640443,1,Gasoline,0
A29639FFBE49F719F6BF62C81D640443,1,ULSD,1
76988788B8E390B95DA5E751F0B8DA3E,1,VEGOIL,0
886F5CAF52B7B7BE5AF5532C702CB447,1,CPP,0
5636AED8D283CE833FE53AD613456111,1,Ethanol,0
57A606984D78FF51AD9DA78FF7D5FD66,1,CPP,0
DEF7C7BA9090DB113BD7A265F157D044,1,NHC,0
63C1307B13F97D68C51063188DC627D8,1,CPP,0
B840C8AA869EBFFD5DEAF87AB53233F2,1,CPP,0
230582755165D49CE0AB3F005683CACB,1,,0
A20FB3AD3ECC89DE50295FECFCC8AEAC,1,CPP,0
AEB0A58691DAE4D23A90B9915F9AF3E4,1,CPP,0
8CE7F8C895388C2316AEE6228A004437,1,NHC,0
